Index #,Rating,CIN,Course Name,Course Type (A/C/G/F/T),Curriculum Control Authority (CCA),Life-Cycle Control Document,CTTL/PPP/TCCD Statement,Current Assessment Approach
PQ15-005,QM,N/A,N/A,N/A,N/A,N/A,N/A,N/A
PQ15-006,QM,N/A,N/A,N/A,N/A,N/A,N/A,N/A
PQ15-007,QM,N/A,N/A,N/A,N/A,N/A,N/A,N/A
PQ15-008,QM,N/A,N/A,N/A,N/A,N/A,N/A,N/A
PQ15-009,QM,N/A,N/A,N/A,N/A,N/A,N/A,N/A
PQ15-010,QM,N/A,N/A,N/A,N/A,N/A,N/A,N/A
PQ15-011,QM,N/A,N/A,N/A,N/A,N/A,N/A,N/A
PQ15-012,QM,N/A,N/A,N/A,N/A,N/A,N/A,N/A
PQ15-013,QM,N/A,N/A,N/A,N/A,N/A,N/A,N/A
PQ15-014,QM,N/A,N/A,N/A,N/A,N/A,N/A,N/A
PQ15-015,QM,N/A,N/A,N/A,N/A,N/A,N/A,N/A
PQ15-016,QM,N/A,N/A,N/A,N/A,N/A,N/A,N/A
PQ15-017,QM,N/A,N/A,N/A,N/A,N/A,N/A,N/A
PQ15-018,QM,N/A,N/A,N/A,N/A,N/A,N/A,N/A
PQ15-019,QM,N/A,N/A,N/A,N/A,N/A,N/A,N/A
PQ15-020,QM,N/A,N/A,N/A,N/A,N/A,N/A,N/A
PQ15-021,QM,N/A,N/A,N/A,N/A,N/A,N/A,N/A
PQ15-022,QM,N/A,N/A,N/A,N/A,N/A,N/A,N/A
PQ15-023,QM,N/A,N/A,N/A,N/A,N/A,N/A,N/A
PQ15-024,QM,N/A,N/A,N/A,N/A,N/A,N/A,N/A
PQ15-025,QM,N/A,N/A,N/A,N/A,N/A,N/A,N/A
PQ15-026,QM,N/A,N/A,N/A,N/A,N/A,N/A,N/A
PQ15-027,QM,N/A,N/A,N/A,N/A,N/A,N/A,N/A
PQ15-028,QM,N/A,N/A,N/A,N/A,N/A,N/A,N/A
PQ15-029,QM,N/A,N/A,N/A,N/A,N/A,N/A,N/A
PQ16-001,QM,N/A,N/A,N/A,N/A,N/A,N/A,N/A
PQ16-002,QM,N/A,N/A,N/A,N/A,N/A,N/A,N/A
PQ16-003,QM,N/A,N/A,N/A,N/A,N/A,N/A,N/A
PQ16-004,QM,N/A,N/A,N/A,N/A,N/A,N/A,N/A
PQ16-005,QM,N/A,N/A,N/A,N/A,N/A,N/A,N/A
PQ16-006,QM,N/A,N/A,N/A,N/A,N/A,N/A,N/A
PQ16-007,QM,N/A,N/A,N/A,N/A,N/A,N/A,N/A
PQ16-008,QM,N/A,N/A,N/A,N/A,N/A,N/A,N/A
PQ16-009,QM,N/A,N/A,N/A,N/A,N/A,N/A,N/A
PQ16-010,QM,N/A,N/A,N/A,N/A,N/A,N/A,N/A
PQ16-011,QM,N/A,N/A,N/A,N/A,N/A,N/A,N/A
PQ16-012,QM,N/A,N/A,N/A,N/A,N/A,N/A,N/A
PQ16-013,QM,N/A,N/A,N/A,N/A,N/A,N/A,N/A
PQ16-014,QM,N/A,N/A,N/A,N/A,N/A,N/A,N/A
PQ16-015,QM,N/A,N/A,N/A,N/A,N/A,N/A,N/A
PQ16-016,QM,N/A,N/A,N/A,N/A,N/A,N/A,N/A
PQ16-017,QM,N/A,N/A,N/A,N/A,N/A,N/A,N/A
PQ16-018,QM,N/A,N/A,N/A,N/A,N/A,N/A,N/A
PQ16-019,QM,N/A,N/A,N/A,N/A,N/A,N/A,N/A
PQ16-020,QM,N/A,N/A,N/A,N/A,N/A,N/A,N/A
PQ16-021,QM,N/A,N/A,N/A,N/A,N/A,N/A,N/A
PQ16-022,QM,N/A,N/A,N/A,N/A,N/A,N/A,N/A
PQ16-023,QM,N/A,N/A,N/A,N/A,N/A,N/A,N/A
PQ16-024,QM,N/A,N/A,N/A,N/A,N/A,N/A,N/A
PQ16-025,QM,N/A,N/A,N/A,N/A,N/A,N/A,N/A
PQ16-026,QM,N/A,N/A,N/A,N/A,N/A,N/A,N/A
PQ16-027,QM,N/A,N/A,N/A,N/A,N/A,N/A,N/A
PQ16-028,QM,N/A,N/A,N/A,N/A,N/A,N/A,N/A
PQ16-029,QM,N/A,N/A,N/A,N/A,N/A,N/A,N/A
PQ17-001,QM,N/A,N/A,N/A,N/A,N/A,N/A,N/A
PQ17-002,QM,N/A,N/A,N/A,N/A,N/A,N/A,N/A
PQ17-003,QM,N/A,N/A,N/A,N/A,N/A,N/A,N/A
PQ17-004,QM,N/A,N/A,N/A,N/A,N/A,N/A,N/A
PQ17-005,QM,N/A,N/A,N/A,N/A,N/A,N/A,N/A
PQ17-006,QM,N/A,N/A,N/A,N/A,N/A,N/A,N/A
PQ17-007,QM,N/A,N/A,N/A,N/A,N/A,N/A,N/A
PQ17-008,QM,N/A,N/A,N/A,N/A,N/A,N/A,N/A
PQ17-009,QM,N/A,N/A,N/A,N/A,N/A,N/A,N/A
PQ17-010,QM,N/A,N/A,N/A,N/A,N/A,N/A,N/A
PQ17-011,QM,N/A,N/A,N/A,N/A,N/A,N/A,N/A
PQ17-012,QM,N/A,N/A,N/A,N/A,N/A,N/A,N/A
PQ17-013,QM,N/A,N/A,N/A,N/A,N/A,N/A,N/A
PQ17-014,QM,N/A,N/A,N/A,N/A,N/A,N/A,N/A
PQ17-015,QM,N/A,N/A,N/A,N/A,N/A,N/A,N/A
PQ17-016,QM,N/A,N/A,N/A,N/A,N/A,N/A,N/A
PQ17-017,QM,N/A,N/A,N/A,N/A,N/A,N/A,N/A
PQ17-018,QM,N/A,N/A,N/A,N/A,N/A,N/A,N/A
PQ17-019,QM,N/A,N/A,N/A,N/A,N/A,N/A,N/A
PQ17-020,QM,N/A,N/A,N/A,N/A,N/A,N/A,N/A
PQ17-021,QM,N/A,N/A,N/A,N/A,N/A,N/A,N/A
PQ17-022,QM,N/A,N/A,N/A,N/A,N/A,N/A,N/A
PQ17-023,QM,N/A,N/A,N/A,N/A,N/A,N/A,N/A
PQ17-024,QM,N/A,N/A,N/A,N/A,N/A,N/A,N/A
PQ17-025,QM,N/A,N/A,N/A,N/A,N/A,N/A,N/A
PQ17-026,QM,N/A,N/A,N/A,N/A,N/A,N/A,N/A
PQ17-027,QM,N/A,N/A,N/A,N/A,N/A,N/A,N/A
PQ17-028,QM,N/A,N/A,N/A,N/A,N/A,N/A,N/A
PQ17-029,QM,N/A,N/A,N/A,N/A,N/A,N/A,N/A
PQ17-030,QM,N/A,N/A,N/A,N/A,N/A,N/A,N/A
PQ17-031,QM,N/A,N/A,N/A,N/A,N/A,N/A,N/A
PQ17-032,QM,N/A,N/A,N/A,N/A,N/A,N/A,N/A
PQ17-033,QM,N/A,N/A,N/A,N/A,N/A,N/A,N/A
PQ17-034,QM,N/A,N/A,N/A,N/A,N/A,N/A,N/A
PQ17-035,QM,N/A,N/A,N/A,N/A,N/A,N/A,N/A
PQ17-036,QM,N/A,N/A,N/A,N/A,N/A,N/A,N/A
PQ17-037,QM,N/A,N/A,N/A,N/A,N/A,N/A,N/A
PQ17-038,QM,N/A,N/A,N/A,N/A,N/A,N/A,N/A
PQ17-039,QM,N/A,N/A,N/A,N/A,N/A,N/A,N/A
PQ17-040,QM,N/A,N/A,N/A,N/A,N/A,N/A,N/A
PQ17-041,QM,N/A,N/A,N/A,N/A,N/A,N/A,N/A
PQ17-042,QM,N/A,N/A,N/A,N/A,N/A,N/A,N/A
PQ17-043,QM,N/A,N/A,N/A,N/A,N/A,N/A,N/A
PQ17-044,QM,N/A,N/A,N/A,N/A,N/A,N/A,N/A
PQ17-045,QM,N/A,N/A,N/A,N/A,N/A,N/A,N/A
PQ17-046,QM,N/A,N/A,N/A,N/A,N/A,N/A,N/A
PQ17-047,QM,N/A,N/A,N/A,N/A,N/A,N/A,N/A
PQ17-048,QM,N/A,N/A,N/A,N/A,N/A,N/A,N/A
PQ17-049,QM,N/A,N/A,N/A,N/A,N/A,N/A,N/A
PQ17-050,QM,N/A,N/A,N/A,N/A,N/A,N/A,N/A
PQ17-051,QM,N/A,N/A,N/A,N/A,N/A,N/A,N/A
PQ17-052,QM,N/A,N/A,N/A,N/A,N/A,N/A,N/A
PQ17-053,QM,N/A,N/A,N/A,N/A,N/A,N/A,N/A
PQ17-054,QM,N/A,N/A,N/A,N/A,N/A,N/A,N/A
PQ18-001,QM,N/A,N/A,N/A,N/A,N/A,N/A,N/A
PQ18-002,QM,A-061-0070,QM A (BL 0),A-School,SWSC,CTTL,Operate informational display system,Knowledge/Performance Test
PQ18-003,QM,A-061-0070,QM A (BL 0),A-School,SWSC,CTTL,Adjust radar scope presentation to align with navigation charts,Knowledge/Performance Test
PQ18-004,QM,J-4N-0009A,Surface Navigator/Assistant Surface Navigator,C-School,SWSC,CTTL,Adjust the radar image selection & radar port selection radar features to provide proper presentation IAW NAVDORM and commanding officers orders.,Knowledge/Performance Test
PQ18-005,QM,A-061-0300,QM J,C-School,SWSC,CTTL,Use Automatic Radar Plotting Aid (ARPA),Knowledge/Performance Test
PQ18-006,QM,J-4N-0009A,Surface Navigator/Assistant Surface Navigator,C-School,SWSC,CTTL,"Perform the following tracking functions: manual track acquisition, hook track, sequence track, editing track information, reposition track (repos), position correlate (POSCOR), drop single track, drop all tracks, & correlate and de-correlate tracks",Knowledge/Performance Test
PQ18-007,QM,N/A,N/A,N/A,N/A,N/A,N/A,N/A
PQ18-008,QM,N/A,N/A,N/A,N/A,N/A,N/A,N/A
PQ18-009,QM,N/A,N/A,N/A,N/A,N/A,N/A,N/A
PQ18-010,QM,N/A,N/A,N/A,N/A,N/A,N/A,N/A
PQ18-011,QM,N/A,N/A,N/A,N/A,N/A,N/A,N/A
PQ19-001,QM,N/A,N/A,N/A,N/A,N/A,N/A,N/A
PQ19-002,QM,N/A,N/A,N/A,N/A,N/A,N/A,N/A
PQ19-003,QM,J-4N-0009A,Surface Navigator/Assistant Surface Navigator,C-School,SWSC,CTTL,"Adjust the following basic operation features IAW NAVDORM requirements and commanding officer’s orders: radar transmission pulse length, range scale, display heading line/stern line, video gain settings, anti-clutter settings, enable/disable enhanced video mode, transceiver fine tuning settings, off-set the picture, centering the video display, enable/disabling ais features, & brilliance controls",Knowledge/Performance Test
PQ19-004,QM,A-061-0070,QM A (BL 0),A-School,SWSC,CTTL,Operate electronic navigation systems,Knowledge/Performance Test
PQ19-005,QM,J-4N-0009A,Surface Navigator/Assistant Surface Navigator,C-School,SWSC,CTTL,"Adjust the following presentation, motion, vector & trail modes feature IAW NAVDORM requirements and the commanding officer’s orders head-up, north-up, & course up presentation modes; rm® relative motion, rm(t) relative motion, & tm true motion modes; relative & true vector modes; vector time; short, long, perm, off, & reset trails modes.",Knowledge/Performance Test
PQ19-006,QM,J-4N-0009A,Surface Navigator/Assistant Surface Navigator,C-School,SWSC,CTTL,"Adjust the following EBLS, ERBLS and VRMs features IAW NAVDORM requirements and commanding officer’s orders: turn EBLs on/off, change the bearing of EBL/ERBL, turn VRMs on/off, & adjust range of VRM",Knowledge/Performance Test
PQ19-007,QM,J-4N-0009A,Surface Navigator/Assistant Surface Navigator,C-School,SWSC,CTTL,"Perform adjusting the following acquisition, plotting and zone functions features IAW NAVDORM requirements and commanding officer’s orders: manually plot a target, update target position, & cancel manual plotted target; turning on/off & define guard zones; manually acquire a target, cancel target acquisition, activate/deactivate an ais target, turn on/off auto-acquisition zones, & create/edit auto-acquisition zones in ARPA",Knowledge/Performance Test
PQ19-008,QM,N/A,N/A,N/A,N/A,N/A,N/A,N/A
PQ19-009,QM,J-4N-0009A,Surface Navigator/Assistant Surface Navigator,C-School,SWSC,CTTL,"Adjust the following target functions features IAW NAVDORM requirements and commanding officer’s orders: display targets, display past position dots, target ids, plot ids, target name, cancel all tracked targets, cancel all plots, target repair, & test target",Knowledge/Performance Test
PQ19-010,QM,A-061-0070,QM A (BL 0),C-School,SWSC,CTTL,"Adjust the following limits and settings menu features IAW NAVDORM requirements and commanding officer’s orders: auto drop, CPA limits, TCPA limits, BCR limits, & BCT limits",Knowledge/Performance Test
PQ19-011,QM,J-4N-0009A,Surface Navigator/Assistant Surface Navigator,C-School,SWSC,CTTL,"Adjust/display the following ais menu features IAW NAVDORM requirements and commanding officer’s orders: (if available) ais on/off, ais integrity, target association, ais target totals, own ais position menu, & own ais vessel menu",Knowledge/Performance Test
PQ19-012,QM,N/A,N/A,N/A,N/A,N/A,N/A,N/A
PQ19-013,QM,J-4N-0009A,Surface Navigator/Assistant Surface Navigator,C-School,SWSC,CTTL,"Adjust/display the following navigation features IAW NAVDORM requirements and commanding officer’s orders: (if available) track history - track segments, time marks, event marks, & start/stop recording; position menu - position mode, estimated position, & cursor display; routes - route legs, route types (a) external (b) internal (c) single leg, external routes, internal routes, way points, & sailing alarms",Knowledge/Performance Test
PQ19-014,QM,N/A,N/A,N/A,N/A,N/A,N/A,N/A
PQ19-015,QM,N/A,N/A,N/A,N/A,N/A,N/A,N/A
PQ19-016,QM,N/A,N/A,N/A,N/A,N/A,N/A,N/A
PQ19-017,QM,N/A,N/A,N/A,N/A,N/A,N/A,N/A
PQ20-001,QM,A-061-0070,QM A (BL 0),A-School,SWSC,CTTL,Configure navigation task/running lights,Knowledge/Performance Test
PQ20-002,QM,A-061-0300,QM J,C-School,SWSC,CTTL,Interpret the commanding officer's (CO’s) orders,Knowledge/Performance Test
PQ20-003,QM,A-061-0070,QM A (BL 0),A-School,SWSC,CTTL,Determine aids to navigation,Knowledge/Performance Test
PQ20-004,QM,A-061-0070,QM A (BL 0),A-School,SWSC,CTTL,Report contacts,Knowledge/Performance Test
PQ20-005,QM,A-061-0070,QM A (BL 0),A-School,SWSC,CTTL,Report contacts,Knowledge/Performance Test
PQ20-006,QM,A-061-0070,QM A (BL 0),A-School,SWSC,CTTL,Report contacts; interpret aids to navigation; determine aids to navigation,Knowledge/Performance Test
PQ20-007,QM,N/A,N/A,N/A,N/A,N/A,N/A,N/A
PQ20-008,QM,J-4N-0009A,Surface Navigator/Assistant Surface Navigator,C-School,SWSC,CTTL,"Recognize and report the following fog signals, lights and day shapes: power-driven vessel underway, making way; power-driven vessel underway, not making way; vessel not under command; vessel restricted in her ability to maneuver; & vessel at anchor",Knowledge/Performance Test
PQ20-009,QM,A-061-0300,QM J,C-School,SWSC,CTTL,"Recognize and report the following: marine mammals, life ring, light float, & smoke float",Knowledge/Performance Test
PQ20-010,QM,A-061-0070,QM A (BL 0),A-School,SWSC,CTTL,Select and tune radar presentation,Knowledge/Performance Test
PQ21-001,QM,N/A,N/A,N/A,N/A,N/A,N/A,N/A
PQ21-002,QM,N/A,N/A,N/A,N/A,N/A,N/A,N/A
PQ21-003,QM,N/A,N/A,N/A,N/A,N/A,N/A,N/A
PQ21-004,QM,N/A,N/A,N/A,N/A,N/A,N/A,N/A
PQ21-005,QM,N/A,N/A,N/A,N/A,N/A,N/A,N/A
PQ21-006,QM,N/A,N/A,N/A,N/A,N/A,N/A,N/A
PQ21-007,QM,N/A,N/A,N/A,N/A,N/A,N/A,N/A
PQ21-008,QM,N/A,N/A,N/A,N/A,N/A,N/A,N/A
PQ21-009,QM,N/A,N/A,N/A,N/A,N/A,N/A,N/A
PQ21-010,QM,N/A,N/A,N/A,N/A,N/A,N/A,N/A
PQ21-011,QM,J-4N-0009A,Surface Navigator/Assistant Surface Navigator,C-School,SWSC,CTTL,Operate the graphics display screen on the AIS transponder.,Knowledge/Performance Test
PQ21-012,QM,N/A,N/A,N/A,N/A,N/A,N/A,N/A
PQ21-013,QM,N/A,N/A,N/A,N/A,N/A,N/A,N/A
PQ21-014,QM,N/A,N/A,N/A,N/A,N/A,N/A,N/A
PQ21-015,QM,N/A,N/A,N/A,N/A,N/A,N/A,N/A
PQ21-016,QM,N/A,N/A,N/A,N/A,N/A,N/A,N/A
PQ21-017,QM,N/A,N/A,N/A,N/A,N/A,N/A,N/A
PQ21-018,QM,N/A,N/A,N/A,N/A,N/A,N/A,N/A
PQ21-019,QM,N/A,N/A,N/A,N/A,N/A,N/A,N/A
PQ21-020,QM,N/A,N/A,N/A,N/A,N/A,N/A,N/A
PQ21-021,QM,N/A,N/A,N/A,N/A,N/A,N/A,N/A
PQ21-022,QM,N/A,N/A,N/A,N/A,N/A,N/A,N/A
PQ21-023,QM,N/A,N/A,N/A,N/A,N/A,N/A,N/A
PQ21-024,QM,N/A,N/A,N/A,N/A,N/A,N/A,N/A
PQ21-025,QM,N/A,N/A,N/A,N/A,N/A,N/A,N/A
PQ21-026,QM,N/A,N/A,N/A,N/A,N/A,N/A,N/A
PQ21-027,QM,N/A,N/A,N/A,N/A,N/A,N/A,N/A
PQ21-028,QM,N/A,N/A,N/A,N/A,N/A,N/A,N/A
PQ21-029,QM,N/A,N/A,N/A,N/A,N/A,N/A,N/A
PQ22-001,QM,A-061-0300,QM J,C-School,SWSC,CTTL,Compute tidal currents and current predictions; compute tides and tidal predictions,Knowledge/Performance Test
PQ22-002,QM,N/A,N/A,N/A,N/A,N/A,N/A,N/A
PQ22-003,QM,A-061-0070,QM A (BL 0),A-School,SWSC,CTTL,Measure fathometer readings against charts,Knowledge/Performance Test
PQ22-004,QM,N/A,N/A,N/A,N/A,N/A,N/A,N/A
PQ22-005,QM,A-061-0070,QM A (BL 0),A-School,SWSC,CTTL,Verify water depth is safe for navigation,Knowledge/Performance Test
PQ22-006,QM,N/A,N/A,N/A,N/A,N/A,N/A,N/A
PQ22-007,QM,A-061-0300,QM J,C-School,SWSC,CTTL,Obtain minimum expected water depth for transit and post on fathometer ,Knowledge/Performance Test
PQ23-001,QM,N/A,N/A,N/A,N/A,N/A,N/A,N/A
PQ23-002,QM,N/A,N/A,N/A,N/A,N/A,N/A,N/A
PQ23-003,QM,A-061-0070,QM A (BL 0),A-School,SWSC,CTTL,Check pelorus alignment with benchmark,Knowledge/Performance Test
PQ23-004,QM,A-061-0070,QM A (BL 0),A-School,SWSC,CTTL,Interpret navigation aids,Knowledge/Performance Test
PQ23-005,QM,N/A,N/A,N/A,N/A,N/A,N/A,N/A
PQ23-006,QM,A-061-0070,QM A (BL 0),A-School,SWSC,CTTL,Observe and report constant bearing to navaid in preparation for turn/anchor drop,Knowledge/Performance Test
PQ23-007,QM,A-061-0070,QM A (BL 0),A-School,SWSC,CTTL,Select head and drop bearings,Knowledge/Performance Test
PQ23-008,QM,A-061-0070,QM A (BL 0),A-School,SWSC,CTTL,Observe and report relative bearing to charted objects ,Knowledge/Performance Test
PQ23-009,QM,A-061-0070,QM A (BL 0),A-School,SWSC,CTTL,Observe and report true bearing to charted objects ,Knowledge/Performance Test
PQ24-001,QM,A-061-0044,VMS 9 operator,F-School,SWSC,CTTL,Add temporary navigation point to gazetteer ,Knowledge/Performance Test
PQ24-002,QM,A-061-0070,QM A (BL 0),A-School,SWSC,CTTL,Ensure gyro/radar/repeater error are properly applied to navigation plot  ,Knowledge/Performance Test
PQ24-003,QM,A-061-0300,QM J,C-School,SWSC,CTTL,"Maintain the ship's records, logs, and forms",Knowledge/Performance Test
PQ24-004,QM,A-061-0070,QM A (BL 0),A-School,SWSC,CTTL,Give appropriate preparatory and warning commands to coordinate with cognizant watch stations at prescribed fix intervals  ,Knowledge/Performance Test
PQ24-005,QM,A-061-0300,QM J,C-School,SWSC,CTTL,Apply fix procedures,Knowledge/Performance Test
PQ24-006,QM,A-061-0300,QM J,C-School,SWSC,CTTL,Apply fix procedures; perform piloting procedure,Knowledge/Performance Test
PQ24-007,QM,A-061-0070,QM A (BL 0),A-School,SWSC,CTTL,Correct navigational charts,Knowledge/Performance Test
PQ24-008,QM,A-061-0070,QM A (BL 0),A-School,SWSC,CTTL,Prepare and maintain bearing book,Knowledge/Performance Test
PQ24-009,QM,A-061-0070,QM A (BL 0),A-School,SWSC,CTTL,Prepare and maintain position log,Knowledge/Performance Test
PQ24-010,QM,J-4N-0009A,Surface Navigator/Assistant Surface Navigator,C-School,SWSC,CTTL,"Maintain the ship's records, logs, and forms",Knowledge/Performance Test
PQ24-011,QM,J-4N-0009A,Surface Navigator/Assistant Surface Navigator,C-School,SWSC,CTTL,Record additional items pertaining to anchoring ,Knowledge/Performance Test
PQ24-012,QM,A-061-0070,QM A (BL 0),A-School,SWSC,CTTL,Determine ship's position utilizing global positioning system (GPS) (QuarterM A School); display and interpret figure of merit (VMS 9 operator),Knowledge/Performance Test
PQ24-013,QM,J-4N-0009A,Surface Navigator/Assistant Surface Navigator,C-School,SWSC,CTTL,"Record visual/electronic fix information, sounding data and other pertinent piloting information accurately within 10 seconds of being received ",Knowledge/Performance Test
PQ24-014,QM,J-4N-0009A,Surface Navigator/Assistant Surface Navigator,C-School,SWSC,CTTL,"Maintain the ship's records, logs, and forms",Knowledge/Performance Test
PQ24-015,QM,N/A,N/A,N/A,N/A,N/A,N/A,N/A
PQ24-016,QM,A-061-0070,QM A (BL 0),A-School,SWSC,CTTL,Perform external communications; perform internal verbal communications,Knowledge/Performance Test
PQ24-017,QM,A-061-0070,QM A (BL 0),A-School,SWSC,CTTL,Perform external communications; perform internal verbal communications,Knowledge/Performance Test
PQ24-018,QM,N/A,N/A,N/A,N/A,N/A,N/A,N/A
PQ24-019,QM,A-061-0070,QM A (BL 0),A-School,SWSC,CTTL,Perform internal verbal communications; perform external communications,Knowledge/Performance Test
PQ24-020,QM,A-061-0070,QM A (BL 0),A-School,SWSC,CTTL,Perform internal verbal communications; perform external communications,Knowledge/Performance Test
PQ25-001,QM,A-061-0300,QM J,C-School,SWSC,CTTL,Perform dead reckoning (DR) procedures,Knowledge/Performance Test
PQ25-002,QM,A-061-0070,QM A (BL 0),A-School,SWSC,CTTL,Calculate advance and transfer,Knowledge/Performance Test
PQ25-003,QM,A-061-0070,QM A (BL 0),A-School,SWSC,CTTL,Compute distance/time to turn ,Knowledge/Performance Test
PQ25-004,QM,J-4N-0009A,Surface Navigator/Assistant Surface Navigator,C-School,SWSC,CTTL,Determine a no-fix situation and make appropriate reports,Knowledge/Performance Test
PQ25-005,QM,A-061-0070,QM A (BL 0),A-School,SWSC,CTTL,Determine charted depth ,Knowledge/Performance Test
PQ25-006,QM,A-061-0070,QM A (BL 0),A-School,SWSC,CTTL,Calculate compensating course/speed,Knowledge/Performance Test
PQ25-007,QM,A-061-0070,QM A (BL 0),A-School,SWSC,CTTL,Compute course/speed made good,Knowledge/Performance Test
PQ25-008,QM,A-061-0070,QM A (BL 0),A-School,SWSC,CTTL,Plot navigation hazards (QuarterM A School); determine aids to navigation (QuarterM A School); interpret aids to navigation (QuarterM A School); utilize navigation aids (QuarterM J),Knowledge/Performance Test
PQ25-009,QM,J-4N-0009A,Surface Navigator/Assistant Surface Navigator,C-School,SWSC,CTTL,Determine if the anchor is holding ,Knowledge/Performance Test
PQ25-010,QM,A-061-0070,QM A (BL 0),A-School,SWSC,CTTL,Calculate set and drift,Knowledge/Performance Test
PQ25-011,QM,A-061-0070,QM A (BL 0),A-School,SWSC,CTTL,"Plot turn bearings, turn ranges, and slide lines",Knowledge/Performance Test
PQ25-012,QM,A-061-0300,QM J,C-School,SWSC,CTTL,Perform anchor planning procedures,Knowledge/Performance Test
PQ25-013,QM,A-061-0070,QM A (BL 0),A-School,SWSC,CTTL,Plot relative bearings,Knowledge/Performance Test
PQ25-014,QM,A-061-0070,QM A (BL 0),A-School,SWSC,CTTL,Plot constant bearings to determine mark turn ,Knowledge/Performance Test
PQ25-015,QM,A-061-0070,QM A (BL 0),A-School,SWSC,CTTL,Plot during low visibility ,Knowledge/Performance Test
PQ25-016,QM,A-061-0070,QM A (BL 0),A-School,SWSC,CTTL,Plot radar ranges ,Knowledge/Performance Test
PQ25-017,QM,A-061-0044,VMS 9 operator,F-School,SWSC,CTTL,Determine anchor swing and drag circles,Knowledge/Performance Test
PQ25-018,QM,A-061-0070,QM A (BL 0),A-School,SWSC,CTTL,Plot visual bearings,Knowledge/Performance Test
PQ25-019,QM,A-061-0070,QM A (BL 0),A-School,SWSC,CTTL,Determine aids to navigation (QuarterM A School); interpret aids to navigation (QuarterM A School); utilize aids to navigation (QuarterM J),Knowledge/Performance Test
PQ25-020,QM,A-061-0070,QM A (BL 0),A-School,SWSC,CTTL,Correct navigational charts,Knowledge/Performance Test
PQ25-021,QM,A-061-0070,QM A (BL 0),A-School,SWSC,CTTL,Correct navigational charts,Knowledge/Performance Test
PQ26-001,QM,A-061-0044,VMS 9 operator,F-School,SWSC,CTTL,Display chart update summary,Knowledge/Performance Test
PQ26-002,QM,A-061-0044,VMS 9 operator,F-School,SWSC,CTTL,Acknowledge set-up alarms,Knowledge/Performance Test
PQ26-003,QM,A-061-0044,VMS 9 operator,F-School,SWSC,CTTL,"Create, edit, delete, save manual chart updates (objects)); manage manual chart update layers",Knowledge/Performance Test
PQ26-004,QM,A-061-0070,QM A (BL 0),A-School,SWSC,CTTL,Add a track to make good (TTMG) to a running voyage plan,Knowledge/Performance Test
PQ26-005,QM,A-061-0044,VMS 9 operator,F-School,SWSC,CTTL,Select radar display mode,Knowledge/Performance Test
PQ26-006,QM,A-061-0300,QM J,C-School,SWSC,CTTL,Apply a VDU correction to an uncorrected DNC® (only one library required),Knowledge/Performance Test
PQ26-007,QM,A-061-0044,VMS 9 operator,F-School,SWSC,CTTL,Archive data logs to CD-ROM or approved external hard drive IAW established guidance,Knowledge/Performance Test
PQ26-008,QM,A-061-0044,VMS 9 operator,F-School,SWSC,CTTL,"Archive voyage plans voyage plan(legacy) or route (NEXGEN), navigation plans and layer portfolios to CD-ROM or approved external hard drive",Knowledge/Performance Test
PQ26-009,QM,A-061-0044,VMS 9 operator,F-School,SWSC,CTTL,Attach layer to charts,Knowledge/Performance Test
PQ26-010,QM,A-061-0044,VMS 9 operator,F-School,SWSC,CTTL,Create precision anchoring plan,Knowledge/Performance Test
PQ26-011,QM,A-061-0044,VMS 9 operator,F-School,SWSC,CTTL,Change and reset center area,Knowledge/Performance Test
PQ26-012,QM,A-061-0044,VMS 9 operator,F-School,SWSC,CTTL,Modify vectors,Knowledge/Performance Test
PQ26-013,QM,A-061-0070,QM A (BL 0),A-School,SWSC,CTTL,Change the ship symbol to outline,Knowledge/Performance Test
PQ26-014,QM,A-061-0044,VMS 9 operator,F-School,SWSC,CTTL,Change true motion center,Knowledge/Performance Test
PQ26-015,QM,A-061-0044,VMS 9 operator,F-School,SWSC,CTTL,"Compare GPS fix and an estimated position (ep) generated from visual, radar, and/or composite fixes",Knowledge/Performance Test
PQ26-016,QM,A-061-0044,VMS 9 operator,F-School,SWSC,CTTL,"Create, name, save, and delete VMS route and position of intended movement (PIM) plans",Knowledge/Performance Test
PQ26-017,QM,A-061-0044,VMS 9 operator,F-School,SWSC,CTTL,"Create, edit, delete, save manual chart updates (objects)); manage manual chart update layers; display dangers menu",Knowledge/Performance Test
PQ26-018,QM,A-061-0044,VMS 9 operator,F-School,SWSC,CTTL,"Create, name, delete, and save navigation plan; add, modify, and delete waypoints in route and position of intended movement (PIM) plans",Knowledge/Performance Test
PQ26-019,QM,A-061-0044,VMS 9 operator,F-School,SWSC,CTTL,Create a three lines of position (lop) composite fix,Knowledge/Performance Test
PQ26-020,QM,A-061-0044,VMS 9 operator,F-School,SWSC,CTTL,Create three lines of position (lop) radar fix,Knowledge/Performance Test
PQ26-021,QM,A-061-0044,VMS 9 operator,F-School,SWSC,CTTL,Create a three lines of position (lop) visual fix using relative bearings,Knowledge/Performance Test
PQ26-022,QM,A-061-0044,VMS 9 operator,F-School,SWSC,CTTL,Create a three lines of position (lop) visual fix using true bearings,Knowledge/Performance Test
PQ26-023,QM,A-061-0044,VMS 9 operator,F-School,SWSC,CTTL,"Create, name, save, and delete VMS route and position of intended movement (PIM) plans",Knowledge/Performance Test
